FinancialYear,ProviderType,Quarter,Sex,AgeGroup,Measure,Value
2014–15,Psychiatrists,July to September,Male,0–4 years,Patients,81
2014–15,Psychiatrists,July to September,Male,5–11 years,Patients,1850
2014–15,Psychiatrists,July to September,Male,12–17 years,Patients,4311
2014–15,Psychiatrists,July to September,Male,18–24 years,Patients,8962
2014–15,Psychiatrists,July to September,Male,25–34 years,Patients,14326
2014–15,Psychiatrists,July to September,Male,35–44 years,Patients,17071
2014–15,Psychiatrists,July to September,Male,45–54 years,Patients,16812
2014–15,Psychiatrists,July to September,Male,55–64 years,Patients,13954
2014–15,Psychiatrists,July to September,Male,65–74 years,Patients,6684
2014–15,Psychiatrists,July to September,Male,75–84 years,Patients,2470
2014–15,Psychiatrists,July to September,Male,85 years and over,Patients,692
2014–15,Psychiatrists,July to September,Male,Total,Patients,87213
2014–15,Psychiatrists,July to September,Male,0–4 years,"Patient rate per 1,000 population",0
2014–15,Psychiatrists,July to September,Male,5–11 years,"Patient rate per 1,000 population",2
2014–15,Psychiatrists,July to September,Male,12–17 years,"Patient rate per 1,000 population",5
2014–15,Psychiatrists,July to September,Male,18–24 years,"Patient rate per 1,000 population",8
2014–15,Psychiatrists,July to September,Male,25–34 years,"Patient rate per 1,000 population",8
2014–15,Psychiatrists,July to September,Male,35–44 years,"Patient rate per 1,000 population",11
2014–15,Psychiatrists,July to September,Male,45–54 years,"Patient rate per 1,000 population",11
2014–15,Psychiatrists,July to September,Male,55–64 years,"Patient rate per 1,000 population",10
2014–15,Psychiatrists,July to September,Male,65–74 years,"Patient rate per 1,000 population",7
2014–15,Psychiatrists,July to September,Male,75–84 years,"Patient rate per 1,000 population",5
2014–15,Psychiatrists,July to September,Male,85 years and over,"Patient rate per 1,000 population",4
2014–15,Psychiatrists,July to September,Male,Total,"Patient rate per 1,000 population",7
2014–15,Psychiatrists,July to September,Male,0–4 years,Services,160
2014–15,Psychiatrists,July to September,Male,5–11 years,Services,3491
2014–15,Psychiatrists,July to September,Male,12–17 years,Services,9526
2014–15,Psychiatrists,July to September,Male,18–24 years,Services,22065
2014–15,Psychiatrists,July to September,Male,25–34 years,Services,36752
2014–15,Psychiatrists,July to September,Male,35–44 years,Services,46923
2014–15,Psychiatrists,July to September,Male,45–54 years,Services,46281
2014–15,Psychiatrists,July to September,Male,55–64 years,Services,38843
2014–15,Psychiatrists,July to September,Male,65–74 years,Services,17495
2014–15,Psychiatrists,July to September,Male,75–84 years,Services,6308
2014–15,Psychiatrists,July to September,Male,85 years and over,Services,1639
2014–15,Psychiatrists,July to September,Male,Total,Services,229483
2014–15,Psychiatrists,July to September,Male,0–4 years,"Service rate per 1,000 population",0
2014–15,Psychiatrists,July to September,Male,5–11 years,"Service rate per 1,000 population",3
2014–15,Psychiatrists,July to September,Male,12–17 years,"Service rate per 1,000 population",11
2014–15,Psychiatrists,July to September,Male,18–24 years,"Service rate per 1,000 population",19
2014–15,Psychiatrists,July to September,Male,25–34 years,"Service rate per 1,000 population",21
2014–15,Psychiatrists,July to September,Male,35–44 years,"Service rate per 1,000 population",29
2014–15,Psychiatrists,July to September,Male,45–54 years,"Service rate per 1,000 population",30
2014–15,Psychiatrists,July to September,Male,55–64 years,"Service rate per 1,000 population",29
2014–15,Psychiatrists,July to September,Male,65–74 years,"Service rate per 1,000 population",18
2014–15,Psychiatrists,July to September,Male,75–84 years,"Service rate per 1,000 population",13
2014–15,Psychiatrists,July to September,Male,85 years and over,"Service rate per 1,000 population",10
2014–15,Psychiatrists,July to September,Male,Total,"Service rate per 1,000 population",20
2014–15,Psychiatrists,July to September,Female,0–4 years,Patients,41
2014–15,Psychiatrists,July to September,Female,5–11 years,Patients,798
2014–15,Psychiatrists,July to September,Female,12–17 years,Patients,4674
2014–15,Psychiatrists,July to September,Female,18–24 years,Patients,10163
2014–15,Psychiatrists,July to September,Female,25–34 years,Patients,17032
2014–15,Psychiatrists,July to September,Female,35–44 years,Patients,21481
2014–15,Psychiatrists,July to September,Female,45–54 years,Patients,22180
2014–15,Psychiatrists,July to September,Female,55–64 years,Patients,18460
2014–15,Psychiatrists,July to September,Female,65–74 years,Patients,9536
2014–15,Psychiatrists,July to September,Female,75–84 years,Patients,4106
2014–15,Psychiatrists,July to September,Female,85 years and over,Patients,1478
2014–15,Psychiatrists,July to September,Female,Total,Patients,109949
2014–15,Psychiatrists,July to September,Female,0–4 years,"Patient rate per 1,000 population",0
2014–15,Psychiatrists,July to September,Female,5–11 years,"Patient rate per 1,000 population",1
2014–15,Psychiatrists,July to September,Female,12–17 years,"Patient rate per 1,000 population",6
2014–15,Psychiatrists,July to September,Female,18–24 years,"Patient rate per 1,000 population",9
2014–15,Psychiatrists,July to September,Female,25–34 years,"Patient rate per 1,000 population",10
2014–15,Psychiatrists,July to September,Female,35–44 years,"Patient rate per 1,000 population",13
2014–15,Psychiatrists,July to September,Female,45–54 years,"Patient rate per 1,000 population",14
2014–15,Psychiatrists,July to September,Female,55–64 years,"Patient rate per 1,000 population",13
2014–15,Psychiatrists,July to September,Female,65–74 years,"Patient rate per 1,000 population",10
2014–15,Psychiatrists,July to September,Female,75–84 years,"Patient rate per 1,000 population",7
2014–15,Psychiatrists,July to September,Female,85 years and over,"Patient rate per 1,000 population",5
2014–15,Psychiatrists,July to September,Female,Total,"Patient rate per 1,000 population",9
2014–15,Psychiatrists,July to September,Female,0–4 years,Services,83
2014–15,Psychiatrists,July to September,Female,5–11 years,Services,1633
2014–15,Psychiatrists,July to September,Female,12–17 years,Services,12569
2014–15,Psychiatrists,July to September,Female,18–24 years,Services,34539
2014–15,Psychiatrists,July to September,Female,25–34 years,Services,58057
2014–15,Psychiatrists,July to September,Female,35–44 years,Services,72235
2014–15,Psychiatrists,July to September,Female,45–54 years,Services,74683
2014–15,Psychiatrists,July to September,Female,55–64 years,Services,59944
2014–15,Psychiatrists,July to September,Female,65–74 years,Services,29273
2014–15,Psychiatrists,July to September,Female,75–84 years,Services,11537
2014–15,Psychiatrists,July to September,Female,85 years and over,Services,4085
2014–15,Psychiatrists,July to September,Female,Total,Services,358638
2014–15,Psychiatrists,July to September,Female,0–4 years,"Service rate per 1,000 population",0
2014–15,Psychiatrists,July to September,Female,5–11 years,"Service rate per 1,000 population",2
2014–15,Psychiatrists,July to September,Female,12–17 years,"Service rate per 1,000 population",15
2014–15,Psychiatrists,July to September,Female,18–24 years,"Service rate per 1,000 population",31
2014–15,Psychiatrists,July to September,Female,25–34 years,"Service rate per 1,000 population",33
2014–15,Psychiatrists,July to September,Female,35–44 years,"Service rate per 1,000 population",45
2014–15,Psychiatrists,July to September,Female,45–54 years,"Service rate per 1,000 population",47
2014–15,Psychiatrists,July to September,Female,55–64 years,"Service rate per 1,000 population",44
2014–15,Psychiatrists,July to September,Female,65–74 years,"Service rate per 1,000 population",29
2014–15,Psychiatrists,July to September,Female,75–84 years,"Service rate per 1,000 population",20
2014–15,Psychiatrists,July to September,Female,85 years and over,"Service rate per 1,000 population",14
2014–15,Psychiatrists,July to September,Female,Total,"Service rate per 1,000 population",30
2014–15,Psychiatrists,July to September,Total,0–4 years,Patients,122
2014–15,Psychiatrists,July to September,Total,5–11 years,Patients,2648
2014–15,Psychiatrists,July to September,Total,12–17 years,Patients,8985
2014–15,Psychiatrists,July to September,Total,18–24 years,Patients,19125
2014–15,Psychiatrists,July to September,Total,25–34 years,Patients,31358
2014–15,Psychiatrists,July to September,Total,35–44 years,Patients,38552
2014–15,Psychiatrists,July to September,Total,45–54 years,Patients,38992
2014–15,Psychiatrists,July to September,Total,55–64 years,Patients,32414
2014–15,Psychiatrists,July to September,Total,65–74 years,Patients,16220
2014–15,Psychiatrists,July to September,Total,75–84 years,Patients,6576
2014–15,Psychiatrists,July to September,Total,85 years and over,Patients,2170
2014–15,Psychiatrists,July to September,Total,Total,Patients,197162
2014–15,Psychiatrists,July to September,Total,0–4 years,"Patient rate per 1,000 population",0
2014–15,Psychiatrists,July to September,Total,5–11 years,"Patient rate per 1,000 population",1
2014–15,Psychiatrists,July to September,Total,12–17 years,"Patient rate per 1,000 population",5
2014–15,Psychiatrists,July to September,Total,18–24 years,"Patient rate per 1,000 population",8
2014–15,Psychiatrists,July to September,Total,25–34 years,"Patient rate per 1,000 population",9
2014–15,Psychiatrists,July to September,Total,35–44 years,"Patient rate per 1,000 population",12
2014–15,Psychiatrists,July to September,Total,45–54 years,"Patient rate per 1,000 population",13
2014–15,Psychiatrists,July to September,Total,55–64 years,"Patient rate per 1,000 population",12
2014–15,Psychiatrists,July to September,Total,65–74 years,"Patient rate per 1,000 population",8
2014–15,Psychiatrists,July to September,Total,75–84 years,"Patient rate per 1,000 population",6
2014–15,Psychiatrists,July to September,Total,85 years and over,"Patient rate per 1,000 population",5
2014–15,Psychiatrists,July to September,Total,Total,"Patient rate per 1,000 population",8
2014–15,Psychiatrists,July to September,Total,0–4 years,Services,243
2014–15,Psychiatrists,July to September,Total,5–11 years,Services,5124
2014–15,Psychiatrists,July to September,Total,12–17 years,Services,22095
2014–15,Psychiatrists,July to September,Total,18–24 years,Services,56604
2014–15,Psychiatrists,July to September,Total,25–34 years,Services,94809
2014–15,Psychiatrists,July to September,Total,35–44 years,Services,119158
2014–15,Psychiatrists,July to September,Total,45–54 years,Services,120964
2014–15,Psychiatrists,July to September,Total,55–64 years,Services,98787
2014–15,Psychiatrists,July to September,Total,65–74 years,Services,46768
2014–15,Psychiatrists,July to September,Total,75–84 years,Services,17845
2014–15,Psychiatrists,July to September,Total,85 years and over,Services,5724
2014–15,Psychiatrists,July to September,Total,Total,Services,588121
2014–15,Psychiatrists,July to September,Total,0–4 years,"Service rate per 1,000 population",0
2014–15,Psychiatrists,July to September,Total,5–11 years,"Service rate per 1,000 population",2
2014–15,Psychiatrists,July to September,Total,12–17 years,"Service rate per 1,000 population",13
2014–15,Psychiatrists,July to September,Total,18–24 years,"Service rate per 1,000 population",25
2014–15,Psychiatrists,July to September,Total,25–34 years,"Service rate per 1,000 population",27
2014–15,Psychiatrists,July to September,Total,35–44 years,"Service rate per 1,000 population",37
2014–15,Psychiatrists,July to September,Total,45–54 years,"Service rate per 1,000 population",39
2014–15,Psychiatrists,July to September,Total,55–64 years,"Service rate per 1,000 population",37
2014–15,Psychiatrists,July to September,Total,65–74 years,"Service rate per 1,000 population",24
2014–15,Psychiatrists,July to September,Total,75–84 years,"Service rate per 1,000 population",17
2014–15,Psychiatrists,July to September,Total,85 years and over,"Service rate per 1,000 population",12
2014–15,Psychiatrists,July to September,Total,Total,"Service rate per 1,000 population",25
2014–15,Psychiatrists,October to December,Male,0–4 years,Patients,78
2014–15,Psychiatrists,October to December,Male,5–11 years,Patients,1896
2014–15,Psychiatrists,October to December,Male,12–17 years,Patients,4456
2014–15,Psychiatrists,October to December,Male,18–24 years,Patients,9089
2014–15,Psychiatrists,October to December,Male,25–34 years,Patients,14402
2014–15,Psychiatrists,October to December,Male,35–44 years,Patients,17113
2014–15,Psychiatrists,October to December,Male,45–54 years,Patients,17001
2014–15,Psychiatrists,October to December,Male,55–64 years,Patients,14084
2014–15,Psychiatrists,October to December,Male,65–74 years,Patients,6719
2014–15,Psychiatrists,October to December,Male,75–84 years,Patients,2504
2014–15,Psychiatrists,October to December,Male,85 years and over,Patients,671
2014–15,Psychiatrists,October to December,Male,Total,Patients,88013
2014–15,Psychiatrists,October to December,Male,0–4 years,"Patient rate per 1,000 population",0
2014–15,Psychiatrists,October to December,Male,5–11 years,"Patient rate per 1,000 population",2
2014–15,Psychiatrists,October to December,Male,12–17 years,"Patient rate per 1,000 population",5
2014–15,Psychiatrists,October to December,Male,18–24 years,"Patient rate per 1,000 population",8
2014–15,Psychiatrists,October to December,Male,25–34 years,"Patient rate per 1,000 population",8
2014–15,Psychiatrists,October to December,Male,35–44 years,"Patient rate per 1,000 population",11
2014–15,Psychiatrists,October to December,Male,45–54 years,"Patient rate per 1,000 population",11
2014–15,Psychiatrists,October to December,Male,55–64 years,"Patient rate per 1,000 population",11
2014–15,Psychiatrists,October to December,Male,65–74 years,"Patient rate per 1,000 population",7
2014–15,Psychiatrists,October to December,Male,75–84 years,"Patient rate per 1,000 population",5
2014–15,Psychiatrists,October to December,Male,85 years and over,"Patient rate per 1,000 population",4
2014–15,Psychiatrists,October to December,Male,Total,"Patient rate per 1,000 population",7
2014–15,Psychiatrists,October to December,Male,0–4 years,Services,146
2014–15,Psychiatrists,October to December,Male,5–11 years,Services,3468
2014–15,Psychiatrists,October to December,Male,12–17 years,Services,9588
2014–15,Psychiatrists,October to December,Male,18–24 years,Services,21773
2014–15,Psychiatrists,October to December,Male,25–34 years,Services,36012
2014–15,Psychiatrists,October to December,Male,35–44 years,Services,47248
2014–15,Psychiatrists,October to December,Male,45–54 years,Services,45546
2014–15,Psychiatrists,October to December,Male,55–64 years,Services,38523
2014–15,Psychiatrists,October to December,Male,65–74 years,Services,17032
2014–15,Psychiatrists,October to December,Male,75–84 years,Services,5946
2014–15,Psychiatrists,October to December,Male,85 years and over,Services,1449
2014–15,Psychiatrists,October to December,Male,Total,Services,226731
2014–15,Psychiatrists,October to December,Male,0–4 years,"Service rate per 1,000 population",0
2014–15,Psychiatrists,October to December,Male,5–11 years,"Service rate per 1,000 population",3
2014–15,Psychiatrists,October to December,Male,12–17 years,"Service rate per 1,000 population",11
2014–15,Psychiatrists,October to December,Male,18–24 years,"Service rate per 1,000 population",19
2014–15,Psychiatrists,October to December,Male,25–34 years,"Service rate per 1,000 population",21
2014–15,Psychiatrists,October to December,Male,35–44 years,"Service rate per 1,000 population",30
2014–15,Psychiatrists,October to December,Male,45–54 years,"Service rate per 1,000 population",30
2014–15,Psychiatrists,October to December,Male,55–64 years,"Service rate per 1,000 population",29
2014–15,Psychiatrists,October to December,Male,65–74 years,"Service rate per 1,000 population",18
2014–15,Psychiatrists,October to December,Male,75–84 years,"Service rate per 1,000 population",12
2014–15,Psychiatrists,October to December,Male,85 years and over,"Service rate per 1,000 population",9
2014–15,Psychiatrists,October to December,Male,Total,"Service rate per 1,000 population",19
2014–15,Psychiatrists,October to December,Female,0–4 years,Patients,38
2014–15,Psychiatrists,October to December,Female,5–11 years,Patients,876
2014–15,Psychiatrists,October to December,Female,12–17 years,Patients,4792
2014–15,Psychiatrists,October to December,Female,18–24 years,Patients,10083
2014–15,Psychiatrists,October to December,Female,25–34 years,Patients,16807
2014–15,Psychiatrists,October to December,Female,35–44 years,Patients,21235
2014–15,Psychiatrists,October to December,Female,45–54 years,Patients,22078
2014–15,Psychiatrists,October to December,Female,55–64 years,Patients,18750
2014–15,Psychiatrists,October to December,Female,65–74 years,Patients,9888
2014–15,Psychiatrists,October to December,Female,75–84 years,Patients,4188
2014–15,Psychiatrists,October to December,Female,85 years and over,Patients,1424
2014–15,Psychiatrists,October to December,Female,Total,Patients,110159
2014–15,Psychiatrists,October to December,Female,0–4 years,"Patient rate per 1,000 population",0
2014–15,Psychiatrists,October to December,Female,5–11 years,"Patient rate per 1,000 population",1
2014–15,Psychiatrists,October to December,Female,12–17 years,"Patient rate per 1,000 population",6
2014–15,Psychiatrists,October to December,Female,18–24 years,"Patient rate per 1,000 population",9
2014–15,Psychiatrists,October to December,Female,25–34 years,"Patient rate per 1,000 population",10
2014–15,Psychiatrists,October to December,Female,35–44 years,"Patient rate per 1,000 population",13
2014–15,Psychiatrists,October to December,Female,45–54 years,"Patient rate per 1,000 population",14
2014–15,Psychiatrists,October to December,Female,55–64 years,"Patient rate per 1,000 population",14
2014–15,Psychiatrists,October to December,Female,65–74 years,"Patient rate per 1,000 population",10
2014–15,Psychiatrists,October to December,Female,75–84 years,"Patient rate per 1,000 population",7
2014–15,Psychiatrists,October to December,Female,85 years and over,"Patient rate per 1,000 population",5
2014–15,Psychiatrists,October to December,Female,Total,"Patient rate per 1,000 population",9
2014–15,Psychiatrists,October to December,Female,0–4 years,Services,63
2014–15,Psychiatrists,October to December,Female,5–11 years,Services,1784
2014–15,Psychiatrists,October to December,Female,12–17 years,Services,12521
2014–15,Psychiatrists,October to December,Female,18–24 years,Services,33977
2014–15,Psychiatrists,October to December,Female,25–34 years,Services,56721
2014–15,Psychiatrists,October to December,Female,35–44 years,Services,71203
2014–15,Psychiatrists,October to December,Female,45–54 years,Services,73854
2014–15,Psychiatrists,October to December,Female,55–64 years,Services,60411
2014–15,Psychiatrists,October to December,Female,65–74 years,Services,29936
2014–15,Psychiatrists,October to December,Female,75–84 years,Services,12228
2014–15,Psychiatrists,October to December,Female,85 years and over,Services,3590
2014–15,Psychiatrists,October to December,Female,Total,Services,356288
2014–15,Psychiatrists,October to December,Female,0–4 years,"Service rate per 1,000 population",0
2014–15,Psychiatrists,October to December,Female,5–11 years,"Service rate per 1,000 population",2
2014–15,Psychiatrists,October to December,Female,12–17 years,"Service rate per 1,000 population",15
2014–15,Psychiatrists,October to December,Female,18–24 years,"Service rate per 1,000 population",31
2014–15,Psychiatrists,October to December,Female,25–34 years,"Service rate per 1,000 population",33
2014–15,Psychiatrists,October to December,Female,35–44 years,"Service rate per 1,000 population",44
2014–15,Psychiatrists,October to December,Female,45–54 years,"Service rate per 1,000 population",47
2014–15,Psychiatrists,October to December,Female,55–64 years,"Service rate per 1,000 population",44
2014–15,Psychiatrists,October to December,Female,65–74 years,"Service rate per 1,000 population",30
2014–15,Psychiatrists,October to December,Female,75–84 years,"Service rate per 1,000 population",21
2014–15,Psychiatrists,October to December,Female,85 years and over,"Service rate per 1,000 population",12
2014–15,Psychiatrists,October to December,Female,Total,"Service rate per 1,000 population",30
2014–15,Psychiatrists,October to December,Total,0–4 years,Patients,116
2014–15,Psychiatrists,October to December,Total,5–11 years,Patients,2772
2014–15,Psychiatrists,October to December,Total,12–17 years,Patients,9248
2014–15,Psychiatrists,October to December,Total,18–24 years,Patients,19172
2014–15,Psychiatrists,October to December,Total,25–34 years,Patients,31209
2014–15,Psychiatrists,October to December,Total,35–44 years,Patients,38348
2014–15,Psychiatrists,October to December,Total,45–54 years,Patients,39079
2014–15,Psychiatrists,October to December,Total,55–64 years,Patients,32834
2014–15,Psychiatrists,October to December,Total,65–74 years,Patients,16607
2014–15,Psychiatrists,October to December,Total,75–84 years,Patients,6692
2014–15,Psychiatrists,October to December,Total,85 years and over,Patients,2095
2014–15,Psychiatrists,October to December,Total,Total,Patients,198172
2014–15,Psychiatrists,October to December,Total,0–4 years,"Patient rate per 1,000 population",0
2014–15,Psychiatrists,October to December,Total,5–11 years,"Patient rate per 1,000 population",1
2014–15,Psychiatrists,October to December,Total,12–17 years,"Patient rate per 1,000 population",5
2014–15,Psychiatrists,October to December,Total,18–24 years,"Patient rate per 1,000 population",8
2014–15,Psychiatrists,October to December,Total,25–34 years,"Patient rate per 1,000 population",9
2014–15,Psychiatrists,October to December,Total,35–44 years,"Patient rate per 1,000 population",12
2014–15,Psychiatrists,October to December,Total,45–54 years,"Patient rate per 1,000 population",13
2014–15,Psychiatrists,October to December,Total,55–64 years,"Patient rate per 1,000 population",12
2014–15,Psychiatrists,October to December,Total,65–74 years,"Patient rate per 1,000 population",8
2014–15,Psychiatrists,October to December,Total,75–84 years,"Patient rate per 1,000 population",6
2014–15,Psychiatrists,October to December,Total,85 years and over,"Patient rate per 1,000 population",5
2014–15,Psychiatrists,October to December,Total,Total,"Patient rate per 1,000 population",8
2014–15,Psychiatrists,October to December,Total,0–4 years,Services,209
2014–15,Psychiatrists,October to December,Total,5–11 years,Services,5252
2014–15,Psychiatrists,October to December,Total,12–17 years,Services,22109
2014–15,Psychiatrists,October to December,Total,18–24 years,Services,55750
2014–15,Psychiatrists,October to December,Total,25–34 years,Services,92733
2014–15,Psychiatrists,October to December,Total,35–44 years,Services,118451
2014–15,Psychiatrists,October to December,Total,45–54 years,Services,119400
2014–15,Psychiatrists,October to December,Total,55–64 years,Services,98934
2014–15,Psychiatrists,October to December,Total,65–74 years,Services,46968
2014–15,Psychiatrists,October to December,Total,75–84 years,Services,18174
2014–15,Psychiatrists,October to December,Total,85 years and over,Services,5039
2014–15,Psychiatrists,October to December,Total,Total,Services,583019
2014–15,Psychiatrists,October to December,Total,0–4 years,"Service rate per 1,000 population",0
2014–15,Psychiatrists,October to December,Total,5–11 years,"Service rate per 1,000 population",3
2014–15,Psychiatrists,October to December,Total,12–17 years,"Service rate per 1,000 population",13
2014–15,Psychiatrists,October to December,Total,18–24 years,"Service rate per 1,000 population",24
2014–15,Psychiatrists,October to December,Total,25–34 years,"Service rate per 1,000 population",27
2014–15,Psychiatrists,October to December,Total,35–44 years,"Service rate per 1,000 population",37
2014–15,Psychiatrists,October to December,Total,45–54 years,"Service rate per 1,000 population",38
2014–15,Psychiatrists,October to December,Total,55–64 years,"Service rate per 1,000 population",37
2014–15,Psychiatrists,October to December,Total,65–74 years,"Service rate per 1,000 population",24
2014–15,Psychiatrists,October to December,Total,75–84 years,"Service rate per 1,000 population",17
2014–15,Psychiatrists,October to December,Total,85 years and over,"Service rate per 1,000 population",11
2014–15,Psychiatrists,October to December,Total,Total,"Service rate per 1,000 population",25
2014–15,Psychiatrists,January to March,Male,0–4 years,Patients,97
2014–15,Psychiatrists,January to March,Male,5–11 years,Patients,1946
2014–15,Psychiatrists,January to March,Male,12–17 years,Patients,4381
2014–15,Psychiatrists,January to March,Male,18–24 years,Patients,9105
2014–15,Psychiatrists,January to March,Male,25–34 years,Patients,14525
2014–15,Psychiatrists,January to March,Male,35–44 years,Patients,16968
2014–15,Psychiatrists,January to March,Male,45–54 years,Patients,16548
2014–15,Psychiatrists,January to March,Male,55–64 years,Patients,13944
2014–15,Psychiatrists,January to March,Male,65–74 years,Patients,6609
2014–15,Psychiatrists,January to March,Male,75–84 years,Patients,2510
2014–15,Psychiatrists,January to March,Male,85 years and over,Patients,708
2014–15,Psychiatrists,January to March,Male,Total,Patients,87341
2014–15,Psychiatrists,January to March,Male,0–4 years,"Patient rate per 1,000 population",0
2014–15,Psychiatrists,January to March,Male,5–11 years,"Patient rate per 1,000 population",2
2014–15,Psychiatrists,January to March,Male,12–17 years,"Patient rate per 1,000 population",5
2014–15,Psychiatrists,January to March,Male,18–24 years,"Patient rate per 1,000 population",8
2014–15,Psychiatrists,January to March,Male,25–34 years,"Patient rate per 1,000 population",8
2014–15,Psychiatrists,January to March,Male,35–44 years,"Patient rate per 1,000 population",11
2014–15,Psychiatrists,January to March,Male,45–54 years,"Patient rate per 1,000 population",11
2014–15,Psychiatrists,January to March,Male,55–64 years,"Patient rate per 1,000 population",10
2014–15,Psychiatrists,January to March,Male,65–74 years,"Patient rate per 1,000 population",7
2014–15,Psychiatrists,January to March,Male,75–84 years,"Patient rate per 1,000 population",5
2014–15,Psychiatrists,January to March,Male,85 years and over,"Patient rate per 1,000 population",4
2014–15,Psychiatrists,January to March,Male,Total,"Patient rate per 1,000 population",7
2014–15,Psychiatrists,January to March,Male,0–4 years,Services,172
2014–15,Psychiatrists,January to March,Male,5–11 years,Services,3516
2014–15,Psychiatrists,January to March,Male,12–17 years,Services,9079
2014–15,Psychiatrists,January to March,Male,18–24 years,Services,20910
2014–15,Psychiatrists,January to March,Male,25–34 years,Services,34576
2014–15,Psychiatrists,January to March,Male,35–44 years,Services,44574
2014–15,Psychiatrists,January to March,Male,45–54 years,Services,42658
2014–15,Psychiatrists,January to March,Male,55–64 years,Services,36461
2014–15,Psychiatrists,January to March,Male,65–74 years,Services,16497
2014–15,Psychiatrists,January to March,Male,75–84 years,Services,5973
2014–15,Psychiatrists,January to March,Male,85 years and over,Services,1711
2014–15,Psychiatrists,January to March,Male,Total,Services,216127
2014–15,Psychiatrists,January to March,Male,0–4 years,"Service rate per 1,000 population",0
2014–15,Psychiatrists,January to March,Male,5–11 years,"Service rate per 1,000 population",3
2014–15,Psychiatrists,January to March,Male,12–17 years,"Service rate per 1,000 population",10
2014–15,Psychiatrists,January to March,Male,18–24 years,"Service rate per 1,000 population",18
2014–15,Psychiatrists,January to March,Male,25–34 years,"Service rate per 1,000 population",20
2014–15,Psychiatrists,January to March,Male,35–44 years,"Service rate per 1,000 population",28
2014–15,Psychiatrists,January to March,Male,45–54 years,"Service rate per 1,000 population",28
2014–15,Psychiatrists,January to March,Male,55–64 years,"Service rate per 1,000 population",27
2014–15,Psychiatrists,January to March,Male,65–74 years,"Service rate per 1,000 population",17
2014–15,Psychiatrists,January to March,Male,75–84 years,"Service rate per 1,000 population",12
2014–15,Psychiatrists,January to March,Male,85 years and over,"Service rate per 1,000 population",10
2014–15,Psychiatrists,January to March,Male,Total,"Service rate per 1,000 population",18
2014–15,Psychiatrists,January to March,Female,0–4 years,Patients,52
2014–15,Psychiatrists,January to March,Female,5–11 years,Patients,925
2014–15,Psychiatrists,January to March,Female,12–17 years,Patients,4812
2014–15,Psychiatrists,January to March,Female,18–24 years,Patients,10015
2014–15,Psychiatrists,January to March,Female,25–34 years,Patients,16863
2014–15,Psychiatrists,January to March,Female,35–44 years,Patients,20889
2014–15,Psychiatrists,January to March,Female,45–54 years,Patients,21713
2014–15,Psychiatrists,January to March,Female,55–64 years,Patients,18376
2014–15,Psychiatrists,January to March,Female,65–74 years,Patients,9731
2014–15,Psychiatrists,January to March,Female,75–84 years,Patients,4272
2014–15,Psychiatrists,January to March,Female,85 years and over,Patients,1521
2014–15,Psychiatrists,January to March,Female,Total,Patients,109169
2014–15,Psychiatrists,January to March,Female,0–4 years,"Patient rate per 1,000 population",0
2014–15,Psychiatrists,January to March,Female,5–11 years,"Patient rate per 1,000 population",1
2014–15,Psychiatrists,January to March,Female,12–17 years,"Patient rate per 1,000 population",6
2014–15,Psychiatrists,January to March,Female,18–24 years,"Patient rate per 1,000 population",9
2014–15,Psychiatrists,January to March,Female,25–34 years,"Patient rate per 1,000 population",10
2014–15,Psychiatrists,January to March,Female,35–44 years,"Patient rate per 1,000 population",13
2014–15,Psychiatrists,January to March,Female,45–54 years,"Patient rate per 1,000 population",14
2014–15,Psychiatrists,January to March,Female,55–64 years,"Patient rate per 1,000 population",13
2014–15,Psychiatrists,January to March,Female,65–74 years,"Patient rate per 1,000 population",10
2014–15,Psychiatrists,January to March,Female,75–84 years,"Patient rate per 1,000 population",7
2014–15,Psychiatrists,January to March,Female,85 years and over,"Patient rate per 1,000 population",5
2014–15,Psychiatrists,January to March,Female,Total,"Patient rate per 1,000 population",9
2014–15,Psychiatrists,January to March,Female,0–4 years,Services,101
2014–15,Psychiatrists,January to March,Female,5–11 years,Services,1846
2014–15,Psychiatrists,January to March,Female,12–17 years,Services,12717
2014–15,Psychiatrists,January to March,Female,18–24 years,Services,31597
2014–15,Psychiatrists,January to March,Female,25–34 years,Services,53328
2014–15,Psychiatrists,January to March,Female,35–44 years,Services,65366
2014–15,Psychiatrists,January to March,Female,45–54 years,Services,69701
2014–15,Psychiatrists,January to March,Female,55–64 years,Services,56310
2014–15,Psychiatrists,January to March,Female,65–74 years,Services,29381
2014–15,Psychiatrists,January to March,Female,75–84 years,Services,12162
2014–15,Psychiatrists,January to March,Female,85 years and over,Services,3674
2014–15,Psychiatrists,January to March,Female,Total,Services,336183
2014–15,Psychiatrists,January to March,Female,0–4 years,"Service rate per 1,000 population",0
2014–15,Psychiatrists,January to March,Female,5–11 years,"Service rate per 1,000 population",2
2014–15,Psychiatrists,January to March,Female,12–17 years,"Service rate per 1,000 population",15
2014–15,Psychiatrists,January to March,Female,18–24 years,"Service rate per 1,000 population",28
2014–15,Psychiatrists,January to March,Female,25–34 years,"Service rate per 1,000 population",31
2014–15,Psychiatrists,January to March,Female,35–44 years,"Service rate per 1,000 population",40
2014–15,Psychiatrists,January to March,Female,45–54 years,"Service rate per 1,000 population",44
2014–15,Psychiatrists,January to March,Female,55–64 years,"Service rate per 1,000 population",41
