FinancialYear,GeographicAreaType,GeographicAreaCode,GeographicAreaName,ProviderType,Measure,Value
2014–15,PHN,PHN-101,Central and Eastern Sydney,All providers,"Patient rate per 1,000 population",85
2014–15,PHN,PHN-101,Central and Eastern Sydney,Clinical psychologists,"Patient rate per 1,000 population",21
2014–15,PHN,PHN-101,Central and Eastern Sydney,General practitioners,"Patient rate per 1,000 population",67
2014–15,PHN,PHN-101,Central and Eastern Sydney,Other allied health providers,"Patient rate per 1,000 population",2
2014–15,PHN,PHN-101,Central and Eastern Sydney,Other psychologists,"Patient rate per 1,000 population",22
2014–15,PHN,PHN-101,Central and Eastern Sydney,Psychiatrists,"Patient rate per 1,000 population",18
2014–15,PHN,PHN-101,Central and Eastern Sydney,All providers,Patients,128437
2014–15,PHN,PHN-101,Central and Eastern Sydney,Clinical psychologists,Patients,31504
2014–15,PHN,PHN-101,Central and Eastern Sydney,General practitioners,Patients,100488
2014–15,PHN,PHN-101,Central and Eastern Sydney,Other allied health providers,Patients,3287
2014–15,PHN,PHN-101,Central and Eastern Sydney,Other psychologists,Patients,32825
2014–15,PHN,PHN-101,Central and Eastern Sydney,Psychiatrists,Patients,27250
2014–15,PHN,PHN-101,Central and Eastern Sydney,All providers,"Service rate per 1,000 population",462
2014–15,PHN,PHN-101,Central and Eastern Sydney,Clinical psychologists,"Service rate per 1,000 population",104
2014–15,PHN,PHN-101,Central and Eastern Sydney,General practitioners,"Service rate per 1,000 population",118
2014–15,PHN,PHN-101,Central and Eastern Sydney,Other allied health providers,"Service rate per 1,000 population",11
2014–15,PHN,PHN-101,Central and Eastern Sydney,Other psychologists,"Service rate per 1,000 population",99
2014–15,PHN,PHN-101,Central and Eastern Sydney,Psychiatrists,"Service rate per 1,000 population",130
2014–15,PHN,PHN-101,Central and Eastern Sydney,All providers,Services,698234
2014–15,PHN,PHN-101,Central and Eastern Sydney,Clinical psychologists,Services,157503
2014–15,PHN,PHN-101,Central and Eastern Sydney,General practitioners,Services,177923
2014–15,PHN,PHN-101,Central and Eastern Sydney,Other allied health providers,Services,16722
2014–15,PHN,PHN-101,Central and Eastern Sydney,Other psychologists,Services,149811
2014–15,PHN,PHN-101,Central and Eastern Sydney,Psychiatrists,Services,196276
2014–15,PHN,PHN-102,Northern Sydney,All providers,"Patient rate per 1,000 population",79
2014–15,PHN,PHN-102,Northern Sydney,Clinical psychologists,"Patient rate per 1,000 population",21
2014–15,PHN,PHN-102,Northern Sydney,General practitioners,"Patient rate per 1,000 population",58
2014–15,PHN,PHN-102,Northern Sydney,Other allied health providers,"Patient rate per 1,000 population",2
2014–15,PHN,PHN-102,Northern Sydney,Other psychologists,"Patient rate per 1,000 population",19
2014–15,PHN,PHN-102,Northern Sydney,Psychiatrists,"Patient rate per 1,000 population",21
2014–15,PHN,PHN-102,Northern Sydney,All providers,Patients,70407
2014–15,PHN,PHN-102,Northern Sydney,Clinical psychologists,Patients,18678
2014–15,PHN,PHN-102,Northern Sydney,General practitioners,Patients,51111
2014–15,PHN,PHN-102,Northern Sydney,Other allied health providers,Patients,1932
2014–15,PHN,PHN-102,Northern Sydney,Other psychologists,Patients,17056
2014–15,PHN,PHN-102,Northern Sydney,Psychiatrists,Patients,18234
2014–15,PHN,PHN-102,Northern Sydney,All providers,"Service rate per 1,000 population",449
2014–15,PHN,PHN-102,Northern Sydney,Clinical psychologists,"Service rate per 1,000 population",102
2014–15,PHN,PHN-102,Northern Sydney,General practitioners,"Service rate per 1,000 population",94
2014–15,PHN,PHN-102,Northern Sydney,Other allied health providers,"Service rate per 1,000 population",11
2014–15,PHN,PHN-102,Northern Sydney,Other psychologists,"Service rate per 1,000 population",86
2014–15,PHN,PHN-102,Northern Sydney,Psychiatrists,"Service rate per 1,000 population",156
2014–15,PHN,PHN-102,Northern Sydney,All providers,Services,397420
2014–15,PHN,PHN-102,Northern Sydney,Clinical psychologists,Services,90112
2014–15,PHN,PHN-102,Northern Sydney,General practitioners,Services,83596
2014–15,PHN,PHN-102,Northern Sydney,Other allied health providers,Services,9713
2014–15,PHN,PHN-102,Northern Sydney,Other psychologists,Services,75788
2014–15,PHN,PHN-102,Northern Sydney,Psychiatrists,Services,138211
2014–15,PHN,PHN-103,Western Sydney,All providers,"Patient rate per 1,000 population",81
2014–15,PHN,PHN-103,Western Sydney,Clinical psychologists,"Patient rate per 1,000 population",13
2014–15,PHN,PHN-103,Western Sydney,General practitioners,"Patient rate per 1,000 population",67
2014–15,PHN,PHN-103,Western Sydney,Other allied health providers,"Patient rate per 1,000 population",2
2014–15,PHN,PHN-103,Western Sydney,Other psychologists,"Patient rate per 1,000 population",25
2014–15,PHN,PHN-103,Western Sydney,Psychiatrists,"Patient rate per 1,000 population",14
2014–15,PHN,PHN-103,Western Sydney,All providers,Patients,73377
2014–15,PHN,PHN-103,Western Sydney,Clinical psychologists,Patients,11383
2014–15,PHN,PHN-103,Western Sydney,General practitioners,Patients,60129
2014–15,PHN,PHN-103,Western Sydney,Other allied health providers,Patients,1816
2014–15,PHN,PHN-103,Western Sydney,Other psychologists,Patients,22162
2014–15,PHN,PHN-103,Western Sydney,Psychiatrists,Patients,12949
2014–15,PHN,PHN-103,Western Sydney,All providers,"Service rate per 1,000 population",372
2014–15,PHN,PHN-103,Western Sydney,Clinical psychologists,"Service rate per 1,000 population",56
2014–15,PHN,PHN-103,Western Sydney,General practitioners,"Service rate per 1,000 population",119
2014–15,PHN,PHN-103,Western Sydney,Other allied health providers,"Service rate per 1,000 population",9
2014–15,PHN,PHN-103,Western Sydney,Other psychologists,"Service rate per 1,000 population",105
2014–15,PHN,PHN-103,Western Sydney,Psychiatrists,"Service rate per 1,000 population",83
2014–15,PHN,PHN-103,Western Sydney,All providers,Services,336547
2014–15,PHN,PHN-103,Western Sydney,Clinical psychologists,Services,50635
2014–15,PHN,PHN-103,Western Sydney,General practitioners,Services,107860
2014–15,PHN,PHN-103,Western Sydney,Other allied health providers,Services,7888
2014–15,PHN,PHN-103,Western Sydney,Other psychologists,Services,94784
2014–15,PHN,PHN-103,Western Sydney,Psychiatrists,Services,75380
2014–15,PHN,PHN-104,Nepean Blue Mountains,All providers,"Patient rate per 1,000 population",104
2014–15,PHN,PHN-104,Nepean Blue Mountains,Clinical psychologists,"Patient rate per 1,000 population",17
2014–15,PHN,PHN-104,Nepean Blue Mountains,General practitioners,"Patient rate per 1,000 population",86
2014–15,PHN,PHN-104,Nepean Blue Mountains,Other allied health providers,"Patient rate per 1,000 population",2
2014–15,PHN,PHN-104,Nepean Blue Mountains,Other psychologists,"Patient rate per 1,000 population",29
2014–15,PHN,PHN-104,Nepean Blue Mountains,Psychiatrists,"Patient rate per 1,000 population",18
2014–15,PHN,PHN-104,Nepean Blue Mountains,All providers,Patients,37279
2014–15,PHN,PHN-104,Nepean Blue Mountains,Clinical psychologists,Patients,6158
2014–15,PHN,PHN-104,Nepean Blue Mountains,General practitioners,Patients,30789
2014–15,PHN,PHN-104,Nepean Blue Mountains,Other allied health providers,Patients,813
2014–15,PHN,PHN-104,Nepean Blue Mountains,Other psychologists,Patients,10249
2014–15,PHN,PHN-104,Nepean Blue Mountains,Psychiatrists,Patients,6516
2014–15,PHN,PHN-104,Nepean Blue Mountains,All providers,"Service rate per 1,000 population",451
2014–15,PHN,PHN-104,Nepean Blue Mountains,Clinical psychologists,"Service rate per 1,000 population",75
2014–15,PHN,PHN-104,Nepean Blue Mountains,General practitioners,"Service rate per 1,000 population",154
2014–15,PHN,PHN-104,Nepean Blue Mountains,Other allied health providers,"Service rate per 1,000 population",9
2014–15,PHN,PHN-104,Nepean Blue Mountains,Other psychologists,"Service rate per 1,000 population",117
2014–15,PHN,PHN-104,Nepean Blue Mountains,Psychiatrists,"Service rate per 1,000 population",97
2014–15,PHN,PHN-104,Nepean Blue Mountains,All providers,Services,162258
2014–15,PHN,PHN-104,Nepean Blue Mountains,Clinical psychologists,Services,26886
2014–15,PHN,PHN-104,Nepean Blue Mountains,General practitioners,Services,55193
2014–15,PHN,PHN-104,Nepean Blue Mountains,Other allied health providers,Services,3379
2014–15,PHN,PHN-104,Nepean Blue Mountains,Other psychologists,Services,42002
2014–15,PHN,PHN-104,Nepean Blue Mountains,Psychiatrists,Services,34799
2014–15,PHN,PHN-105,South Western Sydney,All providers,"Patient rate per 1,000 population",80
2014–15,PHN,PHN-105,South Western Sydney,Clinical psychologists,"Patient rate per 1,000 population",11
2014–15,PHN,PHN-105,South Western Sydney,General practitioners,"Patient rate per 1,000 population",66
2014–15,PHN,PHN-105,South Western Sydney,Other allied health providers,"Patient rate per 1,000 population",2
2014–15,PHN,PHN-105,South Western Sydney,Other psychologists,"Patient rate per 1,000 population",26
2014–15,PHN,PHN-105,South Western Sydney,Psychiatrists,"Patient rate per 1,000 population",13
2014–15,PHN,PHN-105,South Western Sydney,All providers,Patients,73949
2014–15,PHN,PHN-105,South Western Sydney,Clinical psychologists,Patients,10320
2014–15,PHN,PHN-105,South Western Sydney,General practitioners,Patients,60840
2014–15,PHN,PHN-105,South Western Sydney,Other allied health providers,Patients,2147
2014–15,PHN,PHN-105,South Western Sydney,Other psychologists,Patients,23560
2014–15,PHN,PHN-105,South Western Sydney,Psychiatrists,Patients,11947
2014–15,PHN,PHN-105,South Western Sydney,All providers,"Service rate per 1,000 population",347
2014–15,PHN,PHN-105,South Western Sydney,Clinical psychologists,"Service rate per 1,000 population",51
2014–15,PHN,PHN-105,South Western Sydney,General practitioners,"Service rate per 1,000 population",116
2014–15,PHN,PHN-105,South Western Sydney,Other allied health providers,"Service rate per 1,000 population",10
2014–15,PHN,PHN-105,South Western Sydney,Other psychologists,"Service rate per 1,000 population",108
2014–15,PHN,PHN-105,South Western Sydney,Psychiatrists,"Service rate per 1,000 population",62
2014–15,PHN,PHN-105,South Western Sydney,All providers,Services,319333
2014–15,PHN,PHN-105,South Western Sydney,Clinical psychologists,Services,46898
2014–15,PHN,PHN-105,South Western Sydney,General practitioners,Services,106452
2014–15,PHN,PHN-105,South Western Sydney,Other allied health providers,Services,9518
2014–15,PHN,PHN-105,South Western Sydney,Other psychologists,Services,99343
2014–15,PHN,PHN-105,South Western Sydney,Psychiatrists,Services,57121
2014–15,PHN,PHN-106,South Eastern NSW,All providers,"Patient rate per 1,000 population",97
2014–15,PHN,PHN-106,South Eastern NSW,Clinical psychologists,"Patient rate per 1,000 population",18
2014–15,PHN,PHN-106,South Eastern NSW,General practitioners,"Patient rate per 1,000 population",81
2014–15,PHN,PHN-106,South Eastern NSW,Other allied health providers,"Patient rate per 1,000 population",2
2014–15,PHN,PHN-106,South Eastern NSW,Other psychologists,"Patient rate per 1,000 population",29
2014–15,PHN,PHN-106,South Eastern NSW,Psychiatrists,"Patient rate per 1,000 population",15
2014–15,PHN,PHN-106,South Eastern NSW,All providers,Patients,58211
2014–15,PHN,PHN-106,South Eastern NSW,Clinical psychologists,Patients,10932
2014–15,PHN,PHN-106,South Eastern NSW,General practitioners,Patients,48303
2014–15,PHN,PHN-106,South Eastern NSW,Other allied health providers,Patients,1392
2014–15,PHN,PHN-106,South Eastern NSW,Other psychologists,Patients,17099
2014–15,PHN,PHN-106,South Eastern NSW,Psychiatrists,Patients,9104
2014–15,PHN,PHN-106,South Eastern NSW,All providers,"Service rate per 1,000 population",422
2014–15,PHN,PHN-106,South Eastern NSW,Clinical psychologists,"Service rate per 1,000 population",82
2014–15,PHN,PHN-106,South Eastern NSW,General practitioners,"Service rate per 1,000 population",142
2014–15,PHN,PHN-106,South Eastern NSW,Other allied health providers,"Service rate per 1,000 population",9
2014–15,PHN,PHN-106,South Eastern NSW,Other psychologists,"Service rate per 1,000 population",116
2014–15,PHN,PHN-106,South Eastern NSW,Psychiatrists,"Service rate per 1,000 population",72
2014–15,PHN,PHN-106,South Eastern NSW,All providers,Services,252108
2014–15,PHN,PHN-106,South Eastern NSW,Clinical psychologists,Services,49279
2014–15,PHN,PHN-106,South Eastern NSW,General practitioners,Services,84834
2014–15,PHN,PHN-106,South Eastern NSW,Other allied health providers,Services,5110
2014–15,PHN,PHN-106,South Eastern NSW,Other psychologists,Services,69623
2014–15,PHN,PHN-106,South Eastern NSW,Psychiatrists,Services,43262
2014–15,PHN,PHN-107,Western NSW,All providers,"Patient rate per 1,000 population",75
2014–15,PHN,PHN-107,Western NSW,Clinical psychologists,"Patient rate per 1,000 population",8
2014–15,PHN,PHN-107,Western NSW,General practitioners,"Patient rate per 1,000 population",65
2014–15,PHN,PHN-107,Western NSW,Other allied health providers,"Patient rate per 1,000 population",3
2014–15,PHN,PHN-107,Western NSW,Other psychologists,"Patient rate per 1,000 population",23
2014–15,PHN,PHN-107,Western NSW,Psychiatrists,"Patient rate per 1,000 population",9
2014–15,PHN,PHN-107,Western NSW,All providers,Patients,23017
2014–15,PHN,PHN-107,Western NSW,Clinical psychologists,Patients,2328
2014–15,PHN,PHN-107,Western NSW,General practitioners,Patients,19751
2014–15,PHN,PHN-107,Western NSW,Other allied health providers,Patients,772
2014–15,PHN,PHN-107,Western NSW,Other psychologists,Patients,6988
2014–15,PHN,PHN-107,Western NSW,Psychiatrists,Patients,2895
2014–15,PHN,PHN-107,Western NSW,All providers,"Service rate per 1,000 population",278
2014–15,PHN,PHN-107,Western NSW,Clinical psychologists,"Service rate per 1,000 population",32
2014–15,PHN,PHN-107,Western NSW,General practitioners,"Service rate per 1,000 population",103
2014–15,PHN,PHN-107,Western NSW,Other allied health providers,"Service rate per 1,000 population",10
2014–15,PHN,PHN-107,Western NSW,Other psychologists,"Service rate per 1,000 population",91
2014–15,PHN,PHN-107,Western NSW,Psychiatrists,"Service rate per 1,000 population",42
2014–15,PHN,PHN-107,Western NSW,All providers,Services,84696
2014–15,PHN,PHN-107,Western NSW,Clinical psychologists,Services,9748
2014–15,PHN,PHN-107,Western NSW,General practitioners,Services,31387
2014–15,PHN,PHN-107,Western NSW,Other allied health providers,Services,3093
2014–15,PHN,PHN-107,Western NSW,Other psychologists,Services,27768
2014–15,PHN,PHN-107,Western NSW,Psychiatrists,Services,12700
2014–15,PHN,PHN-108,Hunter New England and Central Coast,All providers,"Patient rate per 1,000 population",95
2014–15,PHN,PHN-108,Hunter New England and Central Coast,Clinical psychologists,"Patient rate per 1,000 population",15
2014–15,PHN,PHN-108,Hunter New England and Central Coast,General practitioners,"Patient rate per 1,000 population",80
2014–15,PHN,PHN-108,Hunter New England and Central Coast,Other allied health providers,"Patient rate per 1,000 population",3
2014–15,PHN,PHN-108,Hunter New England and Central Coast,Other psychologists,"Patient rate per 1,000 population",28
2014–15,PHN,PHN-108,Hunter New England and Central Coast,Psychiatrists,"Patient rate per 1,000 population",14
2014–15,PHN,PHN-108,Hunter New England and Central Coast,All providers,Patients,117190
2014–15,PHN,PHN-108,Hunter New England and Central Coast,Clinical psychologists,Patients,17820
2014–15,PHN,PHN-108,Hunter New England and Central Coast,General practitioners,Patients,98606
2014–15,PHN,PHN-108,Hunter New England and Central Coast,Other allied health providers,Patients,3087
2014–15,PHN,PHN-108,Hunter New England and Central Coast,Other psychologists,Patients,33822
2014–15,PHN,PHN-108,Hunter New England and Central Coast,Psychiatrists,Patients,16647
2014–15,PHN,PHN-108,Hunter New England and Central Coast,All providers,"Service rate per 1,000 population",384
2014–15,PHN,PHN-108,Hunter New England and Central Coast,Clinical psychologists,"Service rate per 1,000 population",58
2014–15,PHN,PHN-108,Hunter New England and Central Coast,General practitioners,"Service rate per 1,000 population",140
2014–15,PHN,PHN-108,Hunter New England and Central Coast,Other allied health providers,"Service rate per 1,000 population",10
2014–15,PHN,PHN-108,Hunter New England and Central Coast,Other psychologists,"Service rate per 1,000 population",110
2014–15,PHN,PHN-108,Hunter New England and Central Coast,Psychiatrists,"Service rate per 1,000 population",66
2014–15,PHN,PHN-108,Hunter New England and Central Coast,All providers,Services,471941
2014–15,PHN,PHN-108,Hunter New England and Central Coast,Clinical psychologists,Services,71261
2014–15,PHN,PHN-108,Hunter New England and Central Coast,General practitioners,Services,171792
2014–15,PHN,PHN-108,Hunter New England and Central Coast,Other allied health providers,Services,12423
2014–15,PHN,PHN-108,Hunter New England and Central Coast,Other psychologists,Services,135157
2014–15,PHN,PHN-108,Hunter New England and Central Coast,Psychiatrists,Services,81307
2014–15,PHN,PHN-109,North Coast,All providers,"Patient rate per 1,000 population",117
2014–15,PHN,PHN-109,North Coast,Clinical psychologists,"Patient rate per 1,000 population",23
2014–15,PHN,PHN-109,North Coast,General practitioners,"Patient rate per 1,000 population",98
2014–15,PHN,PHN-109,North Coast,Other allied health providers,"Patient rate per 1,000 population",4
2014–15,PHN,PHN-109,North Coast,Other psychologists,"Patient rate per 1,000 population",33
2014–15,PHN,PHN-109,North Coast,Psychiatrists,"Patient rate per 1,000 population",17
2014–15,PHN,PHN-109,North Coast,All providers,Patients,59103
2014–15,PHN,PHN-109,North Coast,Clinical psychologists,Patients,11762
2014–15,PHN,PHN-109,North Coast,General practitioners,Patients,49847
2014–15,PHN,PHN-109,North Coast,Other allied health providers,Patients,2258
2014–15,PHN,PHN-109,North Coast,Other psychologists,Patients,16600
2014–15,PHN,PHN-109,North Coast,Psychiatrists,Patients,8499
2014–15,PHN,PHN-109,North Coast,All providers,"Service rate per 1,000 population",526
2014–15,PHN,PHN-109,North Coast,Clinical psychologists,"Service rate per 1,000 population",100
2014–15,PHN,PHN-109,North Coast,General practitioners,"Service rate per 1,000 population",182
2014–15,PHN,PHN-109,North Coast,Other allied health providers,"Service rate per 1,000 population",18
2014–15,PHN,PHN-109,North Coast,Other psychologists,"Service rate per 1,000 population",136
2014–15,PHN,PHN-109,North Coast,Psychiatrists,"Service rate per 1,000 population",90
2014–15,PHN,PHN-109,North Coast,All providers,Services,266734
2014–15,PHN,PHN-109,North Coast,Clinical psychologists,Services,50460
2014–15,PHN,PHN-109,North Coast,General practitioners,Services,92368
2014–15,PHN,PHN-109,North Coast,Other allied health providers,Services,9340
2014–15,PHN,PHN-109,North Coast,Other psychologists,Services,69026
2014–15,PHN,PHN-109,North Coast,Psychiatrists,Services,45540
2014–15,PHN,PHN-110,Murrumbidgee,All providers,"Patient rate per 1,000 population",73
2014–15,PHN,PHN-110,Murrumbidgee,Clinical psychologists,"Patient rate per 1,000 population",4
2014–15,PHN,PHN-110,Murrumbidgee,General practitioners,"Patient rate per 1,000 population",64
2014–15,PHN,PHN-110,Murrumbidgee,Other allied health providers,"Patient rate per 1,000 population",5
2014–15,PHN,PHN-110,Murrumbidgee,Other psychologists,"Patient rate per 1,000 population",15
2014–15,PHN,PHN-110,Murrumbidgee,Psychiatrists,"Patient rate per 1,000 population",9
2014–15,PHN,PHN-110,Murrumbidgee,All providers,Patients,17568
2014–15,PHN,PHN-110,Murrumbidgee,Clinical psychologists,Patients,1037
2014–15,PHN,PHN-110,Murrumbidgee,General practitioners,Patients,15329
2014–15,PHN,PHN-110,Murrumbidgee,Other allied health providers,Patients,1105
2014–15,PHN,PHN-110,Murrumbidgee,Other psychologists,Patients,3640
2014–15,PHN,PHN-110,Murrumbidgee,Psychiatrists,Patients,2244
2014–15,PHN,PHN-110,Murrumbidgee,All providers,"Service rate per 1,000 population",249
2014–15,PHN,PHN-110,Murrumbidgee,Clinical psychologists,"Service rate per 1,000 population",17
2014–15,PHN,PHN-110,Murrumbidgee,General practitioners,"Service rate per 1,000 population",118
2014–15,PHN,PHN-110,Murrumbidgee,Other allied health providers,"Service rate per 1,000 population",16
2014–15,PHN,PHN-110,Murrumbidgee,Other psychologists,"Service rate per 1,000 population",54
2014–15,PHN,PHN-110,Murrumbidgee,Psychiatrists,"Service rate per 1,000 population",45
2014–15,PHN,PHN-110,Murrumbidgee,All providers,Services,59811
2014–15,PHN,PHN-110,Murrumbidgee,Clinical psychologists,Services,4171
2014–15,PHN,PHN-110,Murrumbidgee,General practitioners,Services,28240
2014–15,PHN,PHN-110,Murrumbidgee,Other allied health providers,Services,3793
2014–15,PHN,PHN-110,Murrumbidgee,Other psychologists,Services,12884
2014–15,PHN,PHN-110,Murrumbidgee,Psychiatrists,Services,10723
2014–15,PHN,PHN-201,North Western Melbourne,All providers,"Patient rate per 1,000 population",97
2014–15,PHN,PHN-201,North Western Melbourne,Clinical psychologists,"Patient rate per 1,000 population",19
2014–15,PHN,PHN-201,North Western Melbourne,General practitioners,"Patient rate per 1,000 population",78
2014–15,PHN,PHN-201,North Western Melbourne,Other allied health providers,"Patient rate per 1,000 population",4
2014–15,PHN,PHN-201,North Western Melbourne,Other psychologists,"Patient rate per 1,000 population",28
2014–15,PHN,PHN-201,North Western Melbourne,Psychiatrists,"Patient rate per 1,000 population",16
2014–15,PHN,PHN-201,North Western Melbourne,All providers,Patients,153531
2014–15,PHN,PHN-201,North Western Melbourne,Clinical psychologists,Patients,30123
2014–15,PHN,PHN-201,North Western Melbourne,General practitioners,Patients,124506
2014–15,PHN,PHN-201,North Western Melbourne,Other allied health providers,Patients,6006
2014–15,PHN,PHN-201,North Western Melbourne,Other psychologists,Patients,44922
2014–15,PHN,PHN-201,North Western Melbourne,Psychiatrists,Patients,26121
2014–15,PHN,PHN-201,North Western Melbourne,All providers,"Service rate per 1,000 population",499
2014–15,PHN,PHN-201,North Western Melbourne,Clinical psychologists,"Service rate per 1,000 population",92
2014–15,PHN,PHN-201,North Western Melbourne,General practitioners,"Service rate per 1,000 population",145
2014–15,PHN,PHN-201,North Western Melbourne,Other allied health providers,"Service rate per 1,000 population",18
2014–15,PHN,PHN-201,North Western Melbourne,Other psychologists,"Service rate per 1,000 population",127
2014–15,PHN,PHN-201,North Western Melbourne,Psychiatrists,"Service rate per 1,000 population",118
2014–15,PHN,PHN-201,North Western Melbourne,All providers,Services,793360
2014–15,PHN,PHN-201,North Western Melbourne,Clinical psychologists,Services,145394
2014–15,PHN,PHN-201,North Western Melbourne,General practitioners,Services,229858
2014–15,PHN,PHN-201,North Western Melbourne,Other allied health providers,Services,29006
2014–15,PHN,PHN-201,North Western Melbourne,Other psychologists,Services,201451
2014–15,PHN,PHN-201,North Western Melbourne,Psychiatrists,Services,187651
2014–15,PHN,PHN-202,Eastern Melbourne,All providers,"Patient rate per 1,000 population",94
2014–15,PHN,PHN-202,Eastern Melbourne,Clinical psychologists,"Patient rate per 1,000 population",20
2014–15,PHN,PHN-202,Eastern Melbourne,General practitioners,"Patient rate per 1,000 population",74
2014–15,PHN,PHN-202,Eastern Melbourne,Other allied health providers,"Patient rate per 1,000 population",4
2014–15,PHN,PHN-202,Eastern Melbourne,Other psychologists,"Patient rate per 1,000 population",27
2014–15,PHN,PHN-202,Eastern Melbourne,Psychiatrists,"Patient rate per 1,000 population",18
2014–15,PHN,PHN-202,Eastern Melbourne,All providers,Patients,136156
2014–15,PHN,PHN-202,Eastern Melbourne,Clinical psychologists,Patients,29095
2014–15,PHN,PHN-202,Eastern Melbourne,General practitioners,Patients,107700
2014–15,PHN,PHN-202,Eastern Melbourne,Other allied health providers,Patients,5446
2014–15,PHN,PHN-202,Eastern Melbourne,Other psychologists,Patients,39071
2014–15,PHN,PHN-202,Eastern Melbourne,Psychiatrists,Patients,25874
2014–15,PHN,PHN-202,Eastern Melbourne,All providers,"Service rate per 1,000 population",510
2014–15,PHN,PHN-202,Eastern Melbourne,Clinical psychologists,"Service rate per 1,000 population",96
2014–15,PHN,PHN-202,Eastern Melbourne,General practitioners,"Service rate per 1,000 population",133
2014–15,PHN,PHN-202,Eastern Melbourne,Other allied health providers,"Service rate per 1,000 population",18
2014–15,PHN,PHN-202,Eastern Melbourne,Other psychologists,"Service rate per 1,000 population",123
2014–15,PHN,PHN-202,Eastern Melbourne,Psychiatrists,"Service rate per 1,000 population",140
2014–15,PHN,PHN-202,Eastern Melbourne,All providers,Services,739691
2014–15,PHN,PHN-202,Eastern Melbourne,Clinical psychologists,Services,138750
2014–15,PHN,PHN-202,Eastern Melbourne,General practitioners,Services,193450
2014–15,PHN,PHN-202,Eastern Melbourne,Other allied health providers,Services,25937
2014–15,PHN,PHN-202,Eastern Melbourne,Other psychologists,Services,177956
2014–15,PHN,PHN-202,Eastern Melbourne,Psychiatrists,Services,203597
2014–15,PHN,PHN-203,South Eastern Melbourne,All providers,"Patient rate per 1,000 population",103
2014–15,PHN,PHN-203,South Eastern Melbourne,Clinical psychologists,"Patient rate per 1,000 population",21
2014–15,PHN,PHN-203,South Eastern Melbourne,General practitioners,"Patient rate per 1,000 population",83
2014–15,PHN,PHN-203,South Eastern Melbourne,Other allied health providers,"Patient rate per 1,000 population",4
2014–15,PHN,PHN-203,South Eastern Melbourne,Other psychologists,"Patient rate per 1,000 population",31
2014–15,PHN,PHN-203,South Eastern Melbourne,Psychiatrists,"Patient rate per 1,000 population",19
2014–15,PHN,PHN-203,South Eastern Melbourne,All providers,Patients,148294
2014–15,PHN,PHN-203,South Eastern Melbourne,Clinical psychologists,Patients,30272
2014–15,PHN,PHN-203,South Eastern Melbourne,General practitioners,Patients,119118
2014–15,PHN,PHN-203,South Eastern Melbourne,Other allied health providers,Patients,5048
2014–15,PHN,PHN-203,South Eastern Melbourne,Other psychologists,Patients,44742
2014–15,PHN,PHN-203,South Eastern Melbourne,Psychiatrists,Patients,26987
2014–15,PHN,PHN-203,South Eastern Melbourne,All providers,"Service rate per 1,000 population",551
2014–15,PHN,PHN-203,South Eastern Melbourne,Clinical psychologists,"Service rate per 1,000 population",99
2014–15,PHN,PHN-203,South Eastern Melbourne,General practitioners,"Service rate per 1,000 population",154
2014–15,PHN,PHN-203,South Eastern Melbourne,Other allied health providers,"Service rate per 1,000 population",16
2014–15,PHN,PHN-203,South Eastern Melbourne,Other psychologists,"Service rate per 1,000 population",141
2014–15,PHN,PHN-203,South Eastern Melbourne,Psychiatrists,"Service rate per 1,000 population",140
2014–15,PHN,PHN-203,South Eastern Melbourne,All providers,Services,791861
2014–15,PHN,PHN-203,South Eastern Melbourne,Clinical psychologists,Services,142943
2014–15,PHN,PHN-203,South Eastern Melbourne,General practitioners,Services,221597
2014–15,PHN,PHN-203,South Eastern Melbourne,Other allied health providers,Services,23656
2014–15,PHN,PHN-203,South Eastern Melbourne,Other psychologists,Services,202095
2014–15,PHN,PHN-203,South Eastern Melbourne,Psychiatrists,Services,201571
2014–15,PHN,PHN-204,Gippsland,All providers,"Patient rate per 1,000 population",96
2014–15,PHN,PHN-204,Gippsland,Clinical psychologists,"Patient rate per 1,000 population",14
2014–15,PHN,PHN-204,Gippsland,General practitioners,"Patient rate per 1,000 population",80
2014–15,PHN,PHN-204,Gippsland,Other allied health providers,"Patient rate per 1,000 population",5
2014–15,PHN,PHN-204,Gippsland,Other psychologists,"Patient rate per 1,000 population",33
2014–15,PHN,PHN-204,Gippsland,Psychiatrists,"Patient rate per 1,000 population",11
2014–15,PHN,PHN-204,Gippsland,All providers,Patients,25697
2014–15,PHN,PHN-204,Gippsland,Clinical psychologists,Patients,3690
2014–15,PHN,PHN-204,Gippsland,General practitioners,Patients,21474
2014–15,PHN,PHN-204,Gippsland,Other allied health providers,Patients,1342
2014–15,PHN,PHN-204,Gippsland,Other psychologists,Patients,8954
2014–15,PHN,PHN-204,Gippsland,Psychiatrists,Patients,2836
2014–15,PHN,PHN-204,Gippsland,All providers,"Service rate per 1,000 population",406
2014–15,PHN,PHN-204,Gippsland,Clinical psychologists,"Service rate per 1,000 population",58
2014–15,PHN,PHN-204,Gippsland,General practitioners,"Service rate per 1,000 population",136
2014–15,PHN,PHN-204,Gippsland,Other allied health providers,"Service rate per 1,000 population",23
2014–15,PHN,PHN-204,Gippsland,Other psychologists,"Service rate per 1,000 population",134
2014–15,PHN,PHN-204,Gippsland,Psychiatrists,"Service rate per 1,000 population",55
2014–15,PHN,PHN-204,Gippsland,All providers,Services,109078
2014–15,PHN,PHN-204,Gippsland,Clinical psychologists,Services,15525
